Reviewer,Review
Shafiq S,I will never ever will fly on this airline at all. Plus you make complaint there will never come back with any response . This is budget airline people don't get fool.
MUAZZAM ALI,"Excellent and cheap airline to travel abroad and within Pakistan. Food, staff and comfort is good. A pleasant journey."
Muttaqi,Well improved services and air crafts. Excellent pilots and staff. In flight information was good. Keep updated your self on weather issues.
Haamid J,"Northern Area flights are subject to weather and visibility. We were fortunate both ways to and return from Skardu our flights were on time. The delightful part of this sector is that you get to see the most beautiful terrain and natural beauty from 10,000 meters. Nanga Parbat in its full glory can be seen going to Skardu on the right side of the plane - get a window seat on the right side facing the front. On return the opposite side."
Kamal5372,"Being the only flight operating between Karachi and Gwadar, you have no other option. However, PIA could improve its punctuality, service, food stuff and courtesy of its cabin crew. The only good thing about it is that you don't have to travel by road for 7-8 hours!"
Saad S,"It used to be one of the best airlines in the world . Poor maintenance and lackluster management made it to the lower ranks. Planes and its cabins are old even business class seas though spacious , are a bit rusty . Good thing about this airline is its service in business class which and its food if you got a taste for Pakistani or Indian cuisine. Hopefully they will upgrade their feel improve soon otherwise they will drop to the list of worlds worst airline like Indian airlines just went"
flyfisher66,"First, we were told that the flight will now board at 8 am instead of 10 am. It was a minor inconvenience but we made it to the Skardu Airport well in time. Around 10 am we were told that the flight from Islamabad to Skardu has been cancelled due to bad weather. We asked the airline staff, ""What next? Will we be accommodated in the next flight? ""Sorry, all flight in next week are fully booked"" was the reply. We were horrified to listen this. There were over 100 of us and we had nowhere to go and the only option left to us was to take an 18 hours road journey to Islamabad. Many of the travelers got furious and told the airline staff that they have to adjust us in the coming flights but airline staff closed the window and disappeared advising us that we can claim our refund from Islamabad. This was absolutely disgusting and I never had such an experience in the past. Cancellation / delays in the airflights due to bad weather in Northern Areas of Pakistan is not something unusual and I have experienced it many times in the past. However, never before PIA abandoned us like this. We were always adjusted in the flights on next day or later or were offered a quick refund. Many times PIA flies an extra flight on the same day to accommodate the left over travelers. It seems to me that now there is no accountability at any level in Pakistan International Airlines. Too bad."
Khatpandwa,"Competent staff, smooth flight, good food, blah blah blah blah blah blah blah blah blah Over all enjoyed this flight along with my family"
Bee A,"If you fly domestically in Pakistan, choose none other than PIA. Despite all the incompetency of the government and inefficient operations, this airline still is one of the most consistent performers in the domestic circuit. On international circuits, this airline is just mediocre with noncompetitive fares which gives the edge to other quality airlines. I would still blindly book PIA for my domestic routes."
Dijas-123,My flight was delayed initially by 3 hours which then turned to 7 hours. The communication to passengers was very poor. There was no representatives around to tell anyone what was going on. Eventually we boarded the flight but it was another 1.5 hours before take off. The plane itself wasnt cleaned and the food served was of poor quality as usual. Thr price of tickets is always ridiculously high. I have promised never to fly with PIA again.
liverpoolLiverpool21,"I booked 4 seats for myself and 3 children on flight PK 721 , 9th August from Manchester to New York and upon arrival at the check in desk was advised I couldn’t fly as I had no return flights booked. This was not mentioned at all during the booking process and I was forced to quickly go to the internet and book return flights before we could check in. When I returned to the check in desk we were advised after a very long wait that there were no seats together but not to worry we could speak with staff at the boarding gate who would help us as they did have a block of 4 together in business class and could move passengers around. The staff at the boarding gate laughed and dismissed me saying this is not possible and advised me to speak with the cabin crew who were even less interested and passed us from one staff to the next trying to sit my 5 year old and 10 year old together at the front of the plane with no adult to look after them and myself in the middle of the plane with my other daughter at the back of the plane alone. I advised the staff this was not acceptable and they told me to just sit down and they would try to move us around once the plane took off ! All the passengers by this time were staring at us and we were made to feel extremely uncomfortable. After several more complaints regarding my children being expected to sit alone with no one to care for them I was begrudgingly given 3 seats together for the 4 of us to share and advised it was the best they could do as the whole flight was full and they didn’t have to accommodate us , they were doing this from kindness !! I was not given any seat belt for the 5 year old I now had sitting on my knee for the whole journey which was not safe and we were just disregarded and frowned upon , I felt we were treated like animals and left extremely uncomfortable for the whole flight. I have raised several formal complaint regarding this matter and to date not been resolved and in fact communication has ceased their end. These flights cost me nearly £1400 one way for the worst experience and most unsafe journey we have ever encountered which gave us a very unpleasant start to our holiday."
ZaimJee,I had traveled with airlines few times for domestic business trips only within Pakistan. Overall average service since the journey distance is very short
Rasheed A,I fly last sunday with pk 0283 everything perpect specially thanks to all crew member but the faisal is very kind respectable host and has colleague also very silently doing has jobs I like this services and I hopes they will keep it up for next time.
Heng How N,"The flight was on 7:15am. Left the hotel 10 minutes before 6:00am and reach the airport at about 6:15am. Check in at counter without much issue at straight to gate 4 for the flight but the gate is not opened for PK390 yet. Once ready, took the bus to the ATR 42 aircraft which is a turboprop plane. Climbed up the small staircase up to the aircraft. Once with the clearance, the flight took off smoothly except the aircon is not cold, or the air came out is warm. Awhile later, the crew serve us with a light snacks with drink. There is no hot drink available. About a hour, the pilots prepared to land on destination airport with ease. Again came down from a narrow staircase and walked towards the luggage claim hall or arrival hall. Wait for awhile and the luggage was on the belt for collection. Out we go for the site/plant."
adss1230,"It's a pretty decent airline and that's about it... PIA has been overtaken by airlines like Emirates and Etihad that have far more superior service and a better product overall. I have heard they give sometimes better deals than the other Gulf carriers, but I think there is a much better experience on any other airline traveling to Pakistan, like Emirates or Etihad. Seats are relatively comfortable, but little variety on in-flight meals. IFE is kinda outdated and the entire cabin product needs a little fresh update overall. Decent airline, but there are better options..."
bluetauras,last min check in they still accommodate me and also upgrade free in business class . 😊 the crew is very nice and experience is great . the breakfast serve with love and care. food is fresh and hot and tasty . Really appreciated.
bluetauras,it is 2nd travel in last six month with PIA. experience is very nice although I heard bad reputation a lot about this airline But every thing is entirely different.it is very good . the flight is on time how so ever there is heavy rain and bad. the staff is courteous. the meal is free fresh and warm with huge smile of staff. Arrival is also good. There is no issue at all. I strongly recommend .
UlsterFryNo1,"When you fly to Skardu, you have to be prepared to take a day or two longer there if the weather's bad. That's what happened to us... not PIA's fault. However, I don't know what we would have done if we hadn't had a local tour guide with us who could get to the head of the queue in the PIA office in Skardu. I would have been totally lost. When we did leave the next day, the flight was perfectly fine."
slapshot81,"I bought a DIRECT flight to Lahore. I was suspicious about the timings that just didn't match the 3.5 hour flight time but paid it no attention. Plane landed, I stood up to disembark and the stewardess came running over over to me.... Stewardess : ""Excuse me sir.... You are for Lahore right?"" Me : ""Yes that's right. Are we not in Lahore?"" Stewardess: ""No sir, this Peshawar. Please take your seat and we will depart for Lahore in 30 minutes"". Me : ""Hang on, this is supposed to be a direct flight to Lahore.... What the hell is going on""?!! Stewardess : ""This is a direct flight sir, via Peshawar""! There was nothing I could do or say so I just went with it. In short, you will need A LOT of patience to fly PIA. Good luck to you!"
AQ2012,"I had my reservations for flying by PIA since in recent times a negative image has been portraying about it. I wanted to fly nonstop and this was the only airline flying from Manchester to Islamabad, so I decided to give it a try. It was a nice surprise. The flight was in time. The on board service was superb. The plane was comfortable. Food was good and all Halal. Plane was neat and clean. Toilets were neat and clean and remained clean till we reached Islamabad. Baggage allowance was more then other airlines.The flight was smooth and comfortable Karachi and back to Islamabad by PIA. Returned back to Manchester by PIA. All the flights were superb, comfortable and the customers were looked after very well. ,"
"Shah, Tayyeb","Although PIA is underrated by many people for their services and time, but my personal experience was totally different. The flight I flew with, was in time, comfortable, the seat was also comfortable, the menu was great and the boarding was free of hassle. I would recommend this airline not only for domestic flights but also for international flights."
rahimworld,You can always expect delay in flights. I don't know what is the problem with PIA staff even though they know very well that customer is keep complaining since long time but no action is taken yet. Perhaps the current Govt don't want to change the national flag carrier. The service quality was average but as usual the flight delay for 30 minutes as they were announcing again and again that the flight is delay due to luggage but still one should make sure that everything should work as per the schedule.
Yagenem,Good service in low cost. Recommended. This is one of most risky airline too. But dont worry. Just do it.
unknownayesha a,"vile service vile staff vile smell filthy plane shocking customer service! and furthermore, vile people to fly with!!!"
Farooq Bhatti,"Normally on my annual vacation I travel with the national flag carrier as the only non stop available flight on weekends. Yet their service requires to be improved a lot. I have been working here in the Kingdom for the last 20 years and have travelled a lot by PIA and have found the airline to get itself improved in booking, boarding service, ontime departures, food quality, Congested seating spaces, crew attention and luggage allowances. I have seen other airlines like SV and GF fully loaded as compared to PIA and even then the booking when searched is sometimes not available. Even with all these improvements to be made, I prefer our National Flag Carrier to Travel."
Furhan1,Business class in name only. Only good thing is the leg room. Food is just ok. Entertainment system often doesn't work and content is pretty rubbish anyway. The only reason for using PIA is they have monopolised the direct flight and convenience. 3 hour delay on way out.
Fareeda M,Travelled to Islamabad from Birmingham on business class with my 11 year old it was a trip to remember excellent service really nice food polite staff.
Gul K,This is International airline and flagship carrier of Pakistan. The best thing is to know what kind of aircraft you are boarding. Not too bad and good for money value.
nellynb,"What a disgusting let down. Flight delayed initially 2 hours and then a further hour on the tarmac waiting for clearance from ISB airport as apparently no parking spaces available for the plane when landed. When we arrived over the airport the plane had to circle for an extra hour due to no parking spaces !!! The plane was boiling hot through the flight as were the minimal drinks offered. The plane had no vanity cases to offer business passengers nor slippers to wear. Blankets smelt damp and made us itchy. Evening meal was nice but breakfast consisted of half a strawberry, a chunk of pineapple, melon and a slice of kiwi, a strawberry yoghurt, a mini croissant and a coffee. Was disgusted as the fruit looked almost rotten !!! Previously when flown business, slippers and vanity case provided and lovely variety of cooked breakfast was offered. Not happy as the price increase was at least £400 per person compared to same time last year but what was provided was disgusting. The plane was also very dirty !! Only use this airline as it is direct may have to look elsewhere for future trips !!!"
WaqasMKhan,"this is the national carrier and the only flight available on this route, hardly worth flying with."
rodney s,"Seriously, 14 hour direct beats a 25 hour stop over. Food was good, flight was smooth. Only thing, for a long haul, their entertainment system needs to be maintained and a better selection. I was scared to travel with this airline but to my surprise, I was pleasantly pleased."
flyfisher66,"Our flight was delayed for more than an hour and the airline staff didn't even bother to say sorry. They looked absolutely indifferent. Last time while traveling from Islamabad to Lahore, they sent my luggage (and of more than 15 other passengers) to Karachi. PIA is getting worst than ever. I am travelling with this airline since 1981 and in good old days, it used to be a very fine airline. No more. There is something seriously wrong and they are very unprofessional in their conduct. They commit and awful mistake and don't even feel sorry about it. When I have a choice, I do not travel with PIA but unfortunately, there aren't many options for domestic travel. PIA management seriously needs to look inwards and improve their standard in almost everything. Their performance is below average in many way."
Furqan,"I am afraid v poor service. Flew with them last year and again March 2017, no improvement. Poor cleanliness, worst maintained hard seats , no entertainment. Food used to be good but spicy now. Staff try best with giving you repeated soft drinks . But big gap between food. Really wished PIA had improved but they are only going due to their Monopoly of being the only direct flight b/w UK and PAk. Is any body reading from their admin ? How many more poor reviews to wake you up ? Extremely expensive for such a poor service."
Shakilahmed1,"Only airline to go direct and was actually early on arrival. I'm shocked! but yes this was the case food was ok rice and chicken, bread, drinks, tea etc. I was disappointed that the entertainment was hit and miss but did enjoy chats with my fellow Pakistani's. The crew are great and always try their best with what little resources they have to make your journey as pleasant as possible with what little resources they have. Sometimes it's the people on the plane which make this journey difficult not the crew I saw a number of people baing disrespectful to crew members and fellow passengers which is not something you expect in this day and age.... Never the less if you want to get to Lahore in 8 hours PIA is the way to go."
rafiqontabe,"Absaloute crap airline, should get shut down! !! Dirty seats with dust hazards, rats in toilets. Food with hair in it ( level 1 hygiene ) . Very bad landing and cabin crew very rude with attitude problems."
Panjtani,"An absolute farce and complete disappointment from start to finish. Firstly at the airport the seat allocation terminal were not working properly which endured a long wait, and when boarding started it was like a rush for the last wagon out of town! On board the seat was dipped in the middle and was creaking at the screws to the floor. The IFE screen had greasy finger marks all over it and the plane was smelling of steamed food and bleach! The Air conditioning was off and upon people constantly requesting were told it would only operate when in the air! There was no distribution of headphones and upon asking was given one after 15 minutes. Then to realise the screen didn't work!!! Again i asked why and was told that it was just being reset and to allow 10 minutes, after 30 minutes asked another attendant who said the screens don't work and I said that was the case 3 months ago to whichshe smiled and replied this is the same plane and nobody really was looking after them properly. To be fair to the staff they did try their best trying to put a brave face on things but there was nothing to smile about. the only reasonable point was the food was ok not good just ok. Its like no other flight anywhere believe me and it was my 6th journey on this route this year and other flights comparatively were heavenly. I hear 2 or 3 routes LHR-LHE and LHr-ISB have what they call a premier service but is dearer and yet to be tried. I think the company is being run into the ground to prepare for a cheap sell off in the usual Pakistani style hence don't expect improvements anytime soon."
Anwar S,"Staff are polite and helpful. Onboard entertainment needs improvement. Sound ports on the armrest are either faulty or the headsets are sub standard. The screen quality is also poor could do with modernisation. Selection of channels and its offerings is pretty poor and not to ones taste The main course on the flight is a choice of lamb or chicken rice with a bit of salad. I had both. Not as good as what it use to be. Bit spicy and probably not befitting for a child.The breakfast served 2 hours or so before landing was a definite No for me. Crossaints, cakes or bread that is either warm to cold doesn't appeal to me. Seats were looking a it frayed around the edges. Pockets on the back of the seats were a bit ripped."
Bashaar,"I must admit, I am totally surprised and impressed when I took the flight from Islamabad to London. As soon as I entered the aircraft, I was welcomed with smiley and smart looking staff (which is slightly unusual). The plane was clean and the seats were comfortable. The pillows were on each seat along with the blankets. All clean. In flight entertainment was ready before the flight was even taken off. The screens were right in front of you (on the back of the front seats) and you can choose from Movies, Cartoons, Games, TV Shows, Airline front and downwards camera and much more. All touch screen. When the lunch arrived, they had a menu.... yes menu with options ! We were offered Fish Pasta, Chicken curry with rice and lamb with rice. I went with chicken rice and my mum went for Fish Pasta. On both the trays, the main course was different but the desert and the rest was same. The desert was chocolate cheese cake. Once we finished with the food, we were offered drinks and then the staff tidied everything up. After few hours we were offered snack and it was croissant with cheese and chicken (extremely tasty and fresh) along with lemon tart and tea. The plane was PIA Premier. When initially I took the flight from London to Islamabad, it was the absolute basic one, but Isb to LHR was definitely a wow. As long as PIA can replicate this to other planes, this will certainly change the perception."
danyal_rana,"Service, not to mention is lacking and satisfactory. In the least, the air hostesses give us males stern, solemn stares. We aren't greeted and welcomed, it is like as though we board a government funded/free of charge airline where we cannot ask for water or questions. You aren't welcomed, asked how is everything or given a positive attititude. only women and children get blankets and pillows, but not the opposite gender. No in flight entertainment, if you ever ask me. This has no element to it. The food is to a decent quality, but apart from main meal times not once are passengers offered tea or drinks and a long distance journey awaits boredom and frustration like this. Service needs to step up and up their game, if this airline wants satisfied customers. Flights are always delayed, never punctual. Staff are disorganised and impatient, so don't bother asking questions. Very ridiculous prices, for what we pay. Better off with competitors, for the sake of a stopover and few extra hours it is still worth the extra effort with which comes satisfaction and decent experience."
bluetauras,"very nice, pleasant experience. food is fresh ,seats are comfortable and the service is quick. on time arrival."
YazzyRaja,It was my 1st experience flying with PIA and boy was it one to remember. Upon departing my bags were checked. I was told that I could not take clothes or food items back with me to uk. I was told that I would need to make a payment in order to let the items go through. I reluctantly did as I did not want to spend any more time arguing. Upon checking in my luggage I had pre booked wheelchair assistance. My luggage went through fine as I was well under the limit. The usher wheeling my mother was constantly begging me for money through the journey. I again reluctantly gave him some money. However when it was time to board the plane he demanded more money. I was disgusted by this and refused. Moving on to the service itself. The flight was delayed by about an hour but we were not well informed. The service on the plane was very average and at one point I was serving myself drinks. The entertainment on board was not working. The plane stank. I did not try the meal so I can't comment. I will not be catching another pia flight ever again.
Amir J,Great service and on time. PIA staff offers curtesy and great service. The seats are comfortable and have enough leg space.
IMRAN S,"As a Pakistani, I love anything that reads Pakistan on it. I flew with Pakistan International Airline in 1989 as an adult. I fell in love with PIA. Since then I flew with many airlines other than Pakistan International Airline because of cost. This year 2016 because of reduced pricing I was able to book a November flight from New York to Karachi for $800 in August. I paid an extra $200 as compare to people flying with Emirates and Etihad Airline. All my friends and family told me otherwise but I was excited that I will be flying with PIA again. I was horrified by the condition of their planes (PK721, PK712, PK307). The seat covers were ripped, seats were broken, broken entertainment system, stained carpet, passengers sit where ever they like to sit, pilot looks like a singer from 1970, cabin crew are elderly people and seemed like they were tired of flying, food taste horrible, terrible booking and reservation system, dirty toilets, staff attitude etc. PNR DBFTUO originally planned to fly back from Karachi to New York on Tuesday Dec 06 . Just check to see how many times this plan was changed by PIA. We were placed on a Domestic flight from Khi to Lhr, where we had to wait for 7 hours to catch morning flight from Lahore to New York. This is not a big hassle but try this with your elderly parents on wheelchair and three kids (5, 4, and 2 year old) and then try this nightmare. Staff at both airport sucks, reservation staff sucks, cabin crew sucks ... because of the plane condition and staff performance I will never fly with them again. I will not add my experience flying for Umrah because it was the same. I spent almost $11,000 with PIA this December 2016 ... never again!"
Ruby_Rayy,"Don't know where to start, completely dire service, food was barely edible, no entertainment whatsoever on both flights, the TV screens do not work. They change flight times randomly, are unable to advise you what time the flight will land. I could go on and on, never again will I fly with PIA!"
rumaila r,Rude staff. Seats were allocated all over the place. Baby cot not provided. Hate it. Will never travel them again. The only advantage this airline have is direct flight otherwise I would have travelled to start with. Worst airline at all times.
Zafar Yaab,"PIA is the only air liner operating on this route, so has no other option. Credits goes to PIA it is continually operating on this hard route without profit with subsidies fare. Flight is totally weather subjected so be ready to listen the cancellation announcement. Ground staff and crew on board, both cooperative and well mannered."
Daniyall_G,"I have used this airline a number of times and have not had (or heard) the best of it and the flight out was no different. Miserable crew and the same at the airport - what do you have to do to get a smile out of these guys! I would rate this a 1 or 2 star however...... The flight back was a completely different story hence why the uprate to 3 stars. The airport staff were friendly and helpful and the cabin crew couldn't do enough for us. It was like two completely different airlines. Get the second crew to train the rest, teach them to smile with a little bit of customer service and PIA could be one of the greatest airlines in the world. The entertainment systems were either not working or not worth watching. One meal was pretty good (hot food) the other a little bland (cold tasteless sandwich)"
ZillNiazi,A horrible experience. The passengers were seated in the aircraft for three hours at the airport and it did not take off because of reasons unexplained. The staff is horrible as I have travelled with PIA several times. Their domestic and international both services suck and are always late. The aircrafts are dirty and most of the seats have ripped fabric. The aircrafts smells of urine.
Saeed_Motiwala,"Our family, 17, passengers flew on 3 flights on the Karachi-Islamabad-Karachi route. Each of the flights was on time, and the staff was friendly, from ground staff to the stewards and stewardesses. This was a nice surprise, after hearing horror stories about PIA. I hope that this is the new norm, and not an exception. Keep it up!"
WMBandit,Very smooth and easy check in from Moenjdaro airport located right next to the archaeological site. A stopover in Sukkar then we landed into Karachi around 9pm sharp. Everything on time- 2 by 2 seating arrangement- comfy seats and ok food. The air hostess is super pretty and very very nice. Smooth take off and landing and so hassle free with baggage claim which is quick. Great to be the only foreigners on the flight. Might try to fly with them on an international flight next time. Super airline with reasonable price
AmirJahangir,"PIA has greatly improved its service standards in terms of flight schedule, food quality and staff employees."
kmc,"This is an average flag carrier of Pakistan. Since it offers non-stop flights from 50 locations worldwide to Pakistan, therefore it is recommended to fly with. This airline used to be a really good airline in the past but lost its quality of services now. Government is working on restoring the goodwill, may rise soon."
Mohammed U,Got to Manchester Airport for 7 in the evening ; i was gonna fly out at 8:40. Check-in was fairly quick and i had no issues with my baggage. 7:45 i said bye to my family and went through to departures where i spent some time shopping in the duty free shops. my gate was 210 and soon it was time to board. was greeted with a smiling stewardess flight depparted on time and dinner was served promptly at a round 9:30. who showed me my seat
JaneX7536ZR,"First time to Pakistan on a business trip and first experience of the airline. I travelled to the main cities on five flights over five days, the airline exceeded my expectations, providing friendly care on these short flights in comfortable seats, some of the Europe airlines could look at this airline. What I really liked was the hospitality of the staff on the ground and in the air, as a vegetarian they went out of there way to make sure I had snacks that were meat free. I would happily travel on this airline again."
AmirJahangir,"PIA has greatly improved its service standards in terms of flight schedule, food quality and staff employees."
Asif A,"This has got to be one of the worst airlines in the world, words cannot express enough how bad they are. The air hostesses have a terrible attitude and are openly rude. The planes are visibly in a poor state, on a 7 hour flight and the tv screens did not even work, air con is never on and food is cheap. Ticket prices are hilarious compared to other top airlines."
Rai S,Excellent food and Excellent service in economy class.Fare is very cheap and service is very good.I travel with my children very bit late but boading staff was very helpful they issue the boarding with very good seats.
AmirJahangir,"PIA has greatly improved its service standards in terms of flight schedule, food quality and staff employees."
Alex M,"I had been hearing very bad experiences about PIA and their staff. I am sharing my personal experience, I found this Air line very comfortable, service is quite fantastic and flight timings were accurate. wish to book in future"
Shaz,"The worst possible airline to choose, the service is awful, I got up mid-flight to find the cabin crew relaxing at the back of the plane , I asked for some coke and was pointed at where it is kept and was told to help myself. The Ac was not working till mid flight and the screens to watch weren't working , when I asked why, I was told that the entire plane was not working properly. Only positive to say is that flight is direct. Never again. 1)poor service 2)nothing working 3)food wasn't the greatest 4)no leg space what so ever"
kemcolian,"As always nothing extraordinary bout the flight, an old 310 aircraft with poor maintenance and cleanliness; on top of it jam-packed - they are getting good business just being the national carrier."
ZakShah70,"PIA used to be known as one of the best in the world but lately, it has had lots of bad press. My trip from London to Islamabad was very pleasant especially the service provided by the cabin crew was a refreshing experience. The crew was polite and forthcoming. It was a very convenient flight with no stop overs. The airline needs to improve on in flight services. As usual, take off and landing was near perfect."
TPS_VT_61,"This was the worst flying experience of my life, and I've flown thousands of times. We were boarded in Dubai. The cabin AC was not working well from the time we were boarded. Then, just before pushing back, it shut off completely. Then after pushing back, there was a mechanical problem with the engines, and instead of returning the passengers to the gate to wait, PIA kept all passengers on board without AC, for 1:15, in Dubai, in summer. The cabin temps quickly rose to something well above 45C. Passengers were yelling to let us off. Nope, they made us stay on. All passengers were soaked through with sweat. Never any help offered. I travel frequently to Pakistan, and usually I've been able to avoid PIA. Now it's a full stop. I will never get on another of their flights, unless there is absolutely no other choice."
zaayernasib,"PIA flights are always delayed, without exception! As usual, there was a 30 minutes delay for no apparent reason at all. Once on board, I was shocked to find out that there was no in-flight entertainment system whatsoever for a 6 hour flight! I didn't even charge my phone properly, thinking i wouldn't need to use it much on the plane. God knows how I managed to pass those 6 hours. I tried to sleep. Guess what? no pillows, no sheets to help with the cold. Typical PIA! We were served breakfast since it was a late night flight. The food was so bad... it made for a sucky start of my vacations :( Return flight was the same..."
FlightPath66,"I usually use Qatar Airways but this year my mother decided to put me on a pia flight because it was direct. Even though i had heard bad things about pia i decided to approach it with an open mind. However, once i arrived, i was so disappointed. The plane was freezing cold and they had run out of blankets. Even as we were boarding a woman behind me asked the hostess ""Can you get me a blanket?"" And she said ""Don't worry, they are coming"" The woman never did get her blanket and neither did i. There was also a shortage of pillows and the ones we were given had barely any stuffing so offered no comfort. As i was travelling alone that time, and with very limited knowledge of urdu, i had to ask questions such as ""Are there anymore pillows, blankets, glass of water etc"" Each time i said this, i was given a blank stare and they began to walk straight past me. Now i understand this is a PIA flight but it is also an international flight which surely means there must be at least someone on the plane who speaks english, unfortunately all the staff could only speak urdu and didn't even know what a blanket, pillow or water was. Even though seatbelt signs were on (an hour after take off, this isnt normal is it? if not then these staff are just lazy) , lots of people were walking around the plane, yet the staff remained hidden behind a curtain. So i decided to get a glass of water to take my meds and as i approached them they told me to sit down but i said i needed water and after staring at me blankly for 7 seconds, i remembered to say ""pani"" then the staff member just pointed at a bottle of water and i had to pour myself a drink... so much for great customer service. The In Flight Entertainment system didn't even work and while most screens had on them the map, time, altitude etc, my screen was just blank. Now i have to go back on pia in a few weeks.. God help me. Seriously though, if pia is appealing to you because of the direct flights, i would suggest emirates or qatar which has a stop over but you can choose one that has a 2 hour stop over and that time goes by so quickly, trust me. I would rather have a 9 hour stop over in Doha than fly PIA again."
643drs,"This airline is our national flag carrier. Due to some management issues, the standard is not maintained properly. Though cabin crew staff is still kind enough to managed in-flight services. I"
Sabhayani,Had a Good experience...Clean....Friendly and Co-operative Staff....Good Food...But Flight TV was not working in 13 hours flight which they said they will fix it soon....
millersfan444,"My wife was hesitant about traveling with PIA, one of the reasons was she does not like hot or spicy food, but when I noticed they did bland (non-spicy) meals and so when I booked the flights I selected the option for special dietry requirements and put that we both wanted bland meals. The problems started at check-in when there was only one person for 2 fights, the other desk was empty, eventually someone else arrived but just sat there for 10 minutes before (after some prompting from another passenger) she decided to help with the checking in. When it was eventually our turn we were asked for our ESTA documents (we have never had documents - it is an electronic system) and in numerous trips to the USA, the latest one 2 months previous, we have never been asked been asked for them. When we said we had no documents we were given our passports back and told we couldn't fly !! We protested and it took the intervention of his colleague to inform him when he put in our passport numbers into the system, the ESTA information would be displayed, which it was. We proceded to the gate and boarded the plane about 30 minutes before take off. Thirty minutes after the take-off time people were still boarding and eventually an announcement was made to say that due to problems at check-in the flight was going to be delayed (why weren't we surprised ?) After we took off I found that my seat wouldn't recline, my footrest didn't work and all the seat back screens around us didn't work. The passenger next to me asked a steward and he went away and came back to say they wouldn't work because it was an old plane. No drinks were brought round and after about an hour the stewardesses came round and handed some meals out, but not to us. The trolly came round with the meals and I said to the stewardess that we had ordered bland meals, she disputed this and then said that they didn't have any and we would have to have the curry. Needless to say my wife couldn't eat it and so just had some of the salad (not the lettuce because the leaves were brown), the bread roll and the cold rice pudding. All in all, not a very pleasant experience and one that we won't be repeating."
suhaibmalik,"I prefer to travel by PIA for domestic flights. This time as well everything was fine, flight was on time, meal was average, crew was good enough at least for me :),"
suhailahmad7676,"This was ATR-42 flight via Zhob in Baluchistan, Pakistan. I am flying with PIA since 1980 and travel with them 300 times. The aircraft's are old and not very clean from inside. the cabin service is alright but the food is sumptuous."
Usman A,Liked the service and the staff but aircraft looked like needing maintenance. Couple of seats were 'out of order'. It was hot in aircraft before take-off. No in-flight entertainment on the long flight.
Shahir Yar K,Our flight took off well in time and despite a stopover in Paris it landed almost in time at Milan. The attitude of the cabin crew was extremely nice and they did everything for the comfort of the Passengers. Th only negative thing was that the inflight entertainment system was not working which made our travel quite boring. The food on board was ok. We had a feeling that PIA is trying its best to Improve. Wish her best of luck.
Arif K,"I have been frequently flying to Kabul for the last so many years. Some years ago PIA also operated B-737 to Kabul but now it operates ATR flights only. ATR flights are bumpy, which makes the flight a bit uncomfortable."
Waseem A,Had great experience. The staff was friendly and nice; the flight was smooth and landing at Dubai International Airport was very smooth. It was good experience.
AmirJahangir,"The Pakistan International Airlines is Pakistan’s flag career and offers best inflight dinning in the country. Despite the reputation, I have found the staff to be professional and courteous. The flight crew has very stylish dressing and they know how to deliver service. The only area where PIA needs to concentrate is their flight operation. So the flights are more on time."
Sarah,The seats are quite roomy for economy class for both the ATR and 777. The domestic flights are always comfortable with good snacks and a very helpful flight crew. The flight crew even fought for our behalf when LHE airport did not have an AC unit for our flight during transit. The international flight departed late but reached KUL on time. The food was good and staff generally ok except some senior air hostesses who were lecturing passengers on the dangers of sugar. The call buttons for air hosts/hostesses were not working so at night when they dimmed the lights you could not get water. Oh and the in-flight entertainment systems did not work.
mwm749,"I prefer PIA while traveling to & from Dubai, as this is perhaps the best time. Takeoff at 0830 am and arriving in Dubai by midday. PIA is on path of its revival to being ""Great people to fly with"" once again.  I found the ground and flight staff to be quite friendly and polite, our flight was bit delayed and we were offered apologizes by ground, flight staff & Captain. The plane was clean and fresh, were offered drinks on seating. Hot Breakfast was served which I found to be more tasty than on other airlines. PIA certainly needs more aircrafts, and should work on ensuring that flights are on time."
Kamran T Ghaznavi,"I always use PIA for domestic flights (mostly for Karachi). This time I decided to travel to KL from my hometown, Peshawar.(Airbus A-310) Flight was on Time. Food stuff was OK (Don't expect too much like Emirates or Qatar) On my way back to PEW, Flight was 4 Hours Late due to technical fault. In flight entertainment was not available. I suggest to PIA to induct Airbus A-300 Aircraft in the fleet for this route and make available quality food stuff and inflight entertainment."
Mumtaz400,"I have stopped using this airline a long time ago. I tried it about two and a half years ago; just being patriotic and regretted it; as flight was delayed both ways. The food was below average and service was also below average. This airline used to be one of the best; as I remember travelling on it every year about 40 to 30 years ago; and we really enjoyed it; even at that time me and my family were travelling on British Airways and KLM. Now due to politicians involved everywhere; hiring is done not on merit basis and poor performers are not laid off. Hence, the end result is terrible. Needs overhauling big time in every department."
Hamza Mahmood,"Overall its a good airlines. But considering the factor of Pakistan Government maintaining the airlines, the things have not proven to be upto the mark in recent past."
FarooqAR,"People are usually very critical of PIA, and many a times it is justified, but my experience of flying with four family members was positive Check In was smooth, breakfast served was hot and tasty and overall flight was smooth."
